team_short_display_name,team_name,team_abbreviation
C Michigan,Chippewas,CMU
NA,Eagles,CNCU
ND de Namur,Argonauts,CND
Coll NJ,Lions,CNJ
Coe,Kohawks,COE
Coe College,Kohawks,COE
Charleston,Cougars,COFC
Coker,Cobras,COK
SUNY-Old Westbury,Panthers,COL
Colorado Coll,Tigers,COLC
Colgate,Raiders,COLG
Colorado,Buffaloes,COLO
UConn,Huskies,CONN
Converse,Valkyries,CONV
Coppin State,Eagles,COPP
Cornell,Big Red,COR
Corban U,Warriors,CORB
SUNY Cortland,Red Dragons,CORT
Concordia TX,Tornados,COTX
Covenant,Scots,COV
Cal Poly,Mustangs,CP
Central Penn,Knights,CPE
Capital (OH),Crusaders,CPTL
Creighton,Bluejays,CREI
Cairn,Cairn,CRN
CrnllIA,Rams,CRN
Crossroads,Cross,CROSS
Crown College,Storm,CROWN
Crowley's Ridge,Pioneers,CRW
CSU Dom Hills,Toros,CSDH
CS East Bay,Pioneers,CSEB
Staten Island,Dolphins,CSI
CS Los Angeles,Golden Eagles,CSLA
CS Monterey Bay,Otters,CSMB
Cent St OH,Marauders,CSO
CentStOk,Bronchos,CSO
Stanislaus St,Warriors,CSS
CSU San Bern,Coyotes,CSSB
Colorado State,Rams,CSU
CSU Bakersfield,Roadrunners,CSUB
CSU Fullerton,Titans,CSUF
CSU Northridge,Matadors,CSUN
CS San Marcos,Cougars,CSUSM
CU-Harrodsburg,Tigers,CU-H
Culver-Stockton,Wildcats,CUL
Cumberland TN,Bulldogs,CUMB
Cumbrlnd,Indians,CUMB
CCNY,Beavers,CUNY
Curry Co,Curry,CURRY
Cent Wash,Wildcats,CWAS
Dakota St,Trojans,DAKO
Dalton State,Roadrunners,DALTO
Dartmouth,Big Green,DART
Davidson,Wildcats,DAV
Davenport Univ,Panthers,DAV
Dayton,Flyers,DAY
Dallas Baptist,Patriots,DBU
Dist of Col,Firebirds,DC
Dallas Christ.,Crusaders,DCH
Dean,Bulldogs,DEAN
Defiance,Yellow Jackets,DEF
Delaware,Blue Hens,DEL
Denver,Pioneers,DEN
DePaul,Blue Demons,DEP
DeSales,Bulldogs,DESA
Detroit Mercy,Titans,DET
Dillard,Blue Devils,DIL
Delta State,Statesmen,DLST
Doane,Tigers,DOANE
Dominican (CA),Penguins,DOM
Dominican (IL),Stars,DOM
DePauw,Tigers,DPW
NA,Wolverines,DRBRN
Mich-Dearborn,Wolverines,DRBRN
Drexel,Dragons,DREX
Drake,Bulldogs,DRKE
Delaware State,Hornets,DSU
Dickinson St,Blue Hawks,DSU
Dubuque,Spartans,DUB
Duke,Blue Devils,DUKE
Duquesne,Dukes,DUQ
Davis & Elkins,Senators,DVE
Daniel Webster,Eagles,DWB
Dixie State,Trailblazers,DXST
E Oregon,Mountaineers,EAQ
Earlham,Quakers,EARL
East-West,Phantoms,EAS
Edward Waters,Tigers,EAU
Eastern Univ.,Eagles,EAU
Ecclesia,Royals,ECC
East Central,Tigers,ECEN
Eckerd,Tritons,ECK
East Carolina,Pirates,ECU
E Illinois,Panthers,EIU
E Kentucky,Colonels,EKU
ElizCity,Vikings,ELIZ
Elmhurst,Blue Jays,ELM
Elon,Phoenix,ELON
Emmanuel,Lions,EMM
East Menn,Royals,EMN
Emory & Henry,Wasps,EMO
Emory,Eagles,EMORY
Emporia St,Hornets,EMP
Embry-Riddle,Eagles,EMR
Emerson,Lions,EMRS
E Michigan,Eagles,EMU
Eastern Nazarene Col,Eastern Nazarene College,ENAZA
E New Mexico,Greyhounds,ENM
Emb-Rid (AZ),Eagles,ERAZ
Erskine,Flying Fleet,ERS
E TX Bapt,Tigers,ETB
ETSU,Buccaneers,ETSU
Eureka Coll,Red Devils,EUR
Evansville,Purple Aces,EVAN
Evergreen State,Geoducks,EVG
Evangel,Crusaders,EVN
E Washington,Eagles,EWU
Fairfield,Stags,FAIR
Fairmont,Falcons,FAIR
Coll of Faith,Saints,FAITH
Florida A&M,Rattlers,FAMU
FAMU,Rattlers,FAMU
FAU,Owls,FAU
Fayetteville St,Broncos,FAY
FDU-Florham,Devils,FDF
Fair. Dickinson,Knights,FDU
Fair Dickinson,Knights,FDU
Ferrum,Panthers,FERM
FGCU,Eagles,FGCU
Freed-Hardeman,Lions,FHC
Fort Hays St,Tigers,FHSU
Fisher College,Eagles,FIS
Fisk,Fisk,FISK
Florida Tech,Panthers,FIT
