team_short_display_name,team_name,team_abbreviation
TCU,Horned Frogs,TCU
Temple,Owls,TEM
Tennessee,Volunteers,TENN
Tenn Temple,Crusaders,TENT
Texas,Longhorns,TEX
Toccoa Falls,Eagles,TF
Thiel,Thiel,THIEL
Thomas College,Terriers,THMAS
Tiffin,Dragons,TIF
TX Lutheran,Bulldogs,TL
Tulsa,Golden Hurricane,TLSA
Tennessee State,Tigers,TNST
Tennessee Tech,Golden Eagles,TNTC
Trevecca,Trojans,TNU
Toledo,Rockets,TOL
Tougaloo,Bulldogs,TOUG
Towson,Tigers,TOW
Trinity (TX),Tigers,TRI
Trinity Baptist,Eagles,TRI
Trinity (IL),Trolls,TRI
Trinity Intl,Trojans,TRIN
Troy,Trojans,TROY
Tru-Mc,Bears,TRUE
Texas Tech,Red Raiders,TTU
Thomas (GA),Night Hawks,TUG
Tulane,Green Wave,TULN
Tusculum,Pioneers,TUSC
Tuskegee,Golden Tigers,TUSK
TX Wesleyan,Rams,TW
Tenn Wesleyan,Bulldogs,TWC
Texas Dallas,Comets,TXDL
TX Perm Basin,Falcons,TXPR
TX-Permian Basin,Falcons,TXPR
Texas Southern,Tigers,TXSO
Texas State,Bobcats,TXST
TX-Tyler,Patriots,TXTY
AK Anchorage,Seawolves,UAA
UAB,Blazers,UAB
Little Rock,Trojans,UALR
Ark-Pine Bluff,Golden Lions,UAPB
AR-Pine Bluff,Golden Lions,UAPB
UC Davis,Aggies,UCD
UCF,Knights,UCF
UC Irvine,Anteaters,UCI
UCLA,Bruins,UCLA
UC Merced,Bobcats,UCME
UC Riverside,Highlanders,UCR
UCSB,Gauchos,UCSB
Georgia,Bulldogs,UGA
UHSP St. Louis,Eutectics,UHSP
UIC,Flames,UIC
Incarnate Word,Cardinals,UIW
Kentucky,Wildcats,UK
Louisiana,Ragin' Cajuns,ULL
UL Monroe,Warhawks,ULM
UMBC,Retrievers,UMBC
MD-Eastern,Hawks,UMES
UMass Lowell,River Hawks,UML
North Alabama,Lions,UNA
North Carolina,Tar Heels,UNC
UNC Asheville,Bulldogs,UNCA
UNC Greensboro,Spartans,UNCG
N Colorado,Bears,UNCO
UNC Wilmington,Seahawks,UNCW
North Dakota,Fighting Hawks,UND
North Florida,Ospreys,UNF
New Hampshire,Wildcats,UNH
Northern Iowa,Panthers,UNI
UNLV,Rebels,UNLV
New Mexico,Lobos,UNM
New Orleans,Privateers,UNO
North Texas,Mean Green,UNT
Urbana,Blue Knights,URB
Rhode Island,Rams,URI
South Alabama,Jaguars,USA
USC,Trojans,USC
San Diego,Toreros,USD
South Florida,Bulls,USF
Southern Miss,Golden Eagles,USM
Utah State,Aggies,USU
UT Arlington,Mavericks,UTA
Utah,Utes,UTAH
Chattanooga,Mocs,UTC
UTEP,Miners,UTEP
UT Martin,Skyhawks,UTM
UTSA,Roadrunners,UTSA
Virginia,Cavaliers,UVA
VA Intermont,Cobras,UVI
Vermont,Catamounts,UVM
Utah Valley,Wolverines,UVU
Wash. & Lee,Generals,UWL
Valparaiso,Beacons,VALP
Vanderbilt,Commodores,VAN
Vassar,Brewers,VAS
Virginia-Wise,Highland Cavaliers,VAW
VCU,Rams,VCU
Villanova,Wildcats,VILL
VMI,Keydets,VMI
Virginia Tech,Hokies,VT
William & Mary,Tribe,W&M
Wagner,Seahawks,WAG
Wake Forest,Demon Deacons,WAKE
Washington,Huskies,WASH
Wabash,Little Giants,WBSH
West Coast Bapt,Eagles,WCB
Western St.,Mountaineers,WCK
West Colorado,Mountaineers,WCOL
W Carolina,Catamounts,WCU
Westminster UT,Griffins,WCV
Weber State,Wildcats,WEB
Webber Int,Warriors,WEBI
Westminster PA,Titans,WES
Wichita State,Shockers,WICH
Wilberforce,Bulldogs,WILB
Winthrop,Eagles,WIN
Wisconsin,Badgers,WISC
W Illinois,Leathernecks,WIU
Western KY,Hilltoppers,WKU
W Michigan,Broncos,WMU
Wofford,Terriers,WOF
Wright State,Raiders,WRST
W. Virginia Tech,Golden Bears,WVTU
West Virginia,Mountaineers,WVU
Warren Wilson,Owls,WWN
